date,open,high,low,close,adj_close,volume
2023-01-03,130.279999,130.899994,124.169998,125.07,124.048035,112117500
2023-01-04,126.889999,128.660004,125.080002,126.360001,125.327507,89113600
2023-01-05,127.129997,127.769997,124.760002,125.019997,123.998451,80962700
2023-01-06,126.010002,130.289993,124.889999,129.619995,128.560867,87754700
2023-01-09,130.470001,133.410004,129.889999,130.149994,129.086548,70790800
2023-01-10,130.259995,131.259995,128.119995,130.729996,129.661804,63896200
2023-01-11,131.25,133.509995,130.460007,133.490005,132.399246,69458900
2023-01-12,133.880005,134.259995,131.440002,133.410004,132.319901,71379600
2023-01-13,132.029999,134.919998,131.660004,134.759995,133.658875,57809700
2023-01-17,134.830002,137.289993,134.130005,135.940002,134.829254,63646600
2023-01-18,136.820007,138.610001,135.029999,135.210007,134.105194,69672800
2023-01-19,134.080002,136.25,133.770004,135.270004,134.164703,58280400
2023-01-20,135.279999,138.020004,134.220001,137.869995,136.743469,80223600
2023-01-23,138.119995,143.320007,137.899994,141.110001,139.957001,81760300
2023-01-24,140.309998,143.160004,140.300003,142.529999,141.365387,66435100
2023-01-25,140.889999,142.429993,138.809998,141.860001,140.700867,65799300
2023-01-26,143.169998,144.25,141.899994,143.960007,142.783722,54105100
2023-01-27,143.160004,147.229996,143.080002,145.929993,144.737595,70555800
2023-01-30,144.960007,145.550003,142.850006,143,141.831543,64015300
2023-01-31,142.699997,144.339996,142.279999,144.289993,143.110992,65874500
2023-02-01,143.970001,146.610001,141.320007,145.429993,144.241669,77663600
2023-02-02,148.899994,151.179993,148.169998,150.820007,149.587662,118339000
2023-02-03,148.029999,157.380005,147.830002,154.5,153.237564,154357300
2023-02-06,152.570007,153.100006,150.779999,151.729996,150.490204,69858300
2023-02-07,150.639999,155.229996,150.639999,154.649994,153.386368,83322600
2023-02-08,153.880005,154.580002,151.169998,151.919998,150.67865,64120100
2023-02-09,153.779999,154.330002,150.419998,150.869995,149.637222,56007100
2023-02-10,149.460007,151.339996,149.220001,151.009995,150.004776,57450700
2023-02-13,150.949997,154.259995,150.919998,153.850006,152.825882,62199000
2023-02-14,152.119995,153.770004,150.860001,153.199997,152.180206,61707600
2023-02-15,153.110001,155.5,152.880005,155.330002,154.296021,65573800
2023-02-16,153.509995,156.330002,153.350006,153.710007,152.686798,68167900
2023-02-17,152.350006,153,150.850006,152.550003,151.534515,59144100
2023-02-21,150.199997,151.300003,148.410004,148.479996,147.491623,58867200
2023-02-22,148.869995,149.949997,147.160004,148.910004,147.918747,51011300
2023-02-23,150.089996,150.339996,147.240005,149.399994,148.405487,48394200
2023-02-24,147.110001,147.190002,145.720001,146.710007,145.733398,55469600
2023-02-27,147.710007,149.169998,147.449997,147.919998,146.935349,44998500
2023-02-28,147.050003,149.080002,146.830002,147.410004,146.428741,50547000
2023-03-01,146.830002,147.229996,145.009995,145.309998,144.342712,55479000
2023-03-02,144.380005,146.710007,143.899994,145.910004,144.938736,52238100
2023-03-03,148.039993,151.110001,147.330002,151.029999,150.024643,70732300
2023-03-06,153.789993,156.300003,153.460007,153.830002,152.80603,87558000
2023-03-07,153.699997,154.029999,151.130005,151.600006,150.590851,56182000
2023-03-08,152.809998,153.470001,151.830002,152.869995,151.852371,47204800
2023-03-09,153.559998,154.539993,150.229996,150.589996,149.58757,53833600
2023-03-10,150.210007,150.940002,147.610001,148.5,147.51149,68572400
2023-03-13,147.809998,153.139999,147.699997,150.470001,149.468369,84457100
2023-03-14,151.279999,153.399994,150.100006,152.589996,151.574265,73695900
2023-03-15,151.190002,153.25,149.919998,152.990005,151.971603,77167900
2023-03-16,152.160004,156.460007,151.639999,155.850006,154.812561,76161100
2023-03-17,156.080002,156.740005,154.279999,155,153.968216,98944600
2023-03-20,155.070007,157.820007,154.149994,157.399994,156.352249,73641400
2023-03-21,157.320007,159.399994,156.539993,159.279999,158.219711,73938300
2023-03-22,159.300003,162.139999,157.809998,157.830002,156.779388,75701800
2023-03-23,158.830002,161.550003,157.679993,158.929993,157.87204,67622100
2023-03-24,158.860001,160.339996,157.850006,160.25,159.183273,59196500
2023-03-27,159.940002,160.770004,157.869995,158.279999,157.226379,52390300
2023-03-28,157.970001,158.490005,155.979996,157.649994,156.600555,45992200
2023-03-29,159.369995,161.050003,159.350006,160.770004,159.699799,51305700
2023-03-30,161.529999,162.470001,161.270004,162.360001,161.279221,49501700
