date,open,high,low,close,adj_close,volume
2023-06-27,103.589996,103.949997,102.760002,103.169998,99.664444,18105700
2023-06-28,103.410004,103.839996,102.830002,103.610001,100.089485,23826800
2023-06-29,102.169998,102.339996,101.449997,101.739998,98.28302,41091600
2023-06-30,102.059998,103.059998,101.870003,102.940002,99.442245,32018800
2023-07-03,102.839996,103.260002,102.059998,102.080002,98.878502,16011800
2023-07-05,101.889999,102,100.739998,101.110001,97.938919,28170300
2023-07-06,100.199997,100.379997,99.470001,99.68,96.55378,41375700
2023-07-07,99.18,99.599998,98.989998,99.080002,95.972595,28979600
2023-07-10,98.860001,99.529999,98.849998,99.209999,96.098511,24665200
2023-07-11,99.57,99.970001,99.290001,99.720001,96.592522,20491100
2023-07-12,100.099998,101.120003,99.769997,100.830002,97.667709,31928000
2023-07-13,101.309998,101.970001,101.029999,101.889999,98.694466,32441500
2023-07-14,101.720001,101.940002,101.239998,101.290001,98.113281,18566200
2023-07-17,101.230003,101.489998,100.919998,101.339996,98.161713,18822000
2023-07-18,101.800003,102.07,101.57,101.800003,98.607285,15412800
2023-07-19,102,102.980003,101.730003,102.949997,99.721214,27192500
2023-07-20,102.220001,102.309998,101.279999,101.699997,98.510437,56951200
2023-07-21,102.160004,102.349998,101.629997,101.730003,98.539474,20655700
2023-07-24,101.989998,102.150002,101.300003,101.360001,98.181084,17546700
2023-07-25,100.830002,101.5,100.800003,101.169998,97.99704,17160600
2023-07-26,101.68,101.690002,100.93,101.269997,98.09391,19310700
2023-07-27,100.709999,100.93,98.910004,99.300003,96.185692,44794400
2023-07-28,99.400002,99.860001,99.150002,99.809998,96.679703,27434000
2023-07-31,99.650002,100.330002,99.620003,100.050003,96.91217,28663800
2023-08-01,98.839996,98.919998,97.900002,98.139999,95.324066,34943400
2023-08-02,97.040001,97.239998,96.410004,97.089996,94.304199,38121300
2023-08-03,95.190002,95.32,94.540001,94.849998,92.128471,59394800
2023-08-04,95.150002,96.68,95.129997,96.529999,93.760284,42053300
2023-08-07,96.110001,96.199997,95.5,95.580002,92.837532,35862900
2023-08-08,96.860001,97.370003,96.440002,96.690002,93.915688,24010500
2023-08-09,96.879997,97.290001,96.839996,97.190002,94.401337,20151100
2023-08-10,97.040001,97.360001,95.589996,95.589996,92.847244,37253200
2023-08-11,95.300003,95.870003,95.199997,95.370003,92.633568,26747800
2023-08-14,95.209999,95.93,94.900002,95.160004,92.429596,19072000
2023-08-15,94.800003,95.199997,94.559998,94.580002,91.866219,24125000
2023-08-16,94.279999,94.790001,93.720001,93.839996,91.147438,23076700
2023-08-17,93.5,93.610001,93.019997,93.440002,90.758942,32244900
2023-08-18,93.43,94.190002,93.300003,93.769997,91.079483,24176000
2023-08-21,92.660004,92.760002,92.230003,92.519997,89.865334,29254100
