date,open,high,low,close,adj_close,volume
2023-01-03,48.240002,48.349998,46.75,47.439999,46.610947,36821153
2023-01-04,47.400002,47.639999,46.849998,47.459999,46.6306,17901405
2023-01-05,47.75,47.869999,46.900002,47.709999,46.876228,34307635
2023-01-06,47.560001,48.09,47.18,47.490002,46.660076,21764444
2023-01-09,47.59,49.09,47.099998,48.689999,47.839104,41035803
2023-01-10,48.599998,48.82,47.799999,48.290001,47.446095,24794842
2023-01-11,48.389999,48.779999,47.84,48.439999,47.593472,22862752
2023-01-12,48.5,48.860001,48.150002,48.25,47.406792,19769602
2023-01-13,48.32,49.84,48.200001,49.400002,48.536697,42487103
2023-01-16,49.799999,50.259998,49.110001,50,49.126209,35331630
2023-01-17,50.049999,50.169998,49.09,49.43,48.566174,26426070
2023-01-18,49.419998,49.419998,48.490002,48.549999,47.70155,23584117
2023-01-19,48.549999,48.549999,47.66,47.990002,47.15134,27670931
2023-01-20,48.18,48.349998,47.919998,48.099998,47.259415,19619406
2023-01-30,48.299999,48.869999,47.810001,48.150002,47.308544,44714514
2023-01-31,49.23,51.389999,49.23,49.939999,49.067257,77287999
2023-02-01,50.009998,50.880001,50.009998,50.5,49.617474,39457611
2023-02-02,50.650002,50.799999,49.799999,50.509998,49.627296,30906348
2023-02-03,50.310001,51.290001,50,50.119999,49.244114,39189550
2023-02-06,49.599998,50.299999,49.209999,50.299999,49.420967,29421259
2023-02-07,50.349998,50.68,49.5,49.650002,48.78233,28955214
2023-02-08,49.650002,49.790001,49.23,49.259998,48.399139,16086154
2023-02-09,49.259998,49.560001,49.080002,49.41,48.54652,18922645
2023-02-10,49.369999,49.720001,48.900002,49.07,48.212463,23978065
2023-02-13,49.389999,49.619999,48.779999,49.189999,48.330364,28657913
2023-02-14,49.490002,50.150002,49.200001,49.619999,48.75285,33742640
2023-02-15,49.439999,49.490002,48.450001,48.59,47.740852,35767480
2023-02-16,48.549999,49.02,47.639999,48.07,47.229939,32602679
2023-02-17,48.099998,48.32,47.900002,47.93,47.092384,19397002
2023-02-20,48.18,48.830002,47.68,48.759998,47.907879,27419978
2023-02-21,48.700001,49.830002,48.43,49.41,48.54652,35801029
2023-02-22,49.400002,51.240002,49.369999,50.900002,50.010483,76486896
2023-02-23,50.880001,51.450001,50.18,50.389999,49.509396,33953151
2023-02-24,50.389999,50.5,49.669998,49.790001,48.91988,21716596
2023-02-27,50,50.310001,49.16,49.310001,48.448269,21679101
2023-02-28,49.509998,49.700001,49.200001,49.540001,48.674252,23601171
2023-03-01,49.549999,50.209999,49.450001,50.18,49.303066,26983673
2023-03-02,50.110001,50.209999,49.75,49.93,49.057434,16106256
2023-03-03,49.93,50.099998,49.360001,49.759998,48.890404,19818384
2023-03-06,49.439999,49.880001,49.220001,49.59,48.723377,21262033
2023-03-07,49.490002,49.509998,48.380001,48.43,47.583649,27271563
2023-03-08,48.360001,48.369999,47.759998,48.040001,47.200462,21898499
2023-03-09,48.299999,48.439999,47.700001,47.869999,47.033432,23526846
2023-03-10,47.810001,47.810001,46.860001,46.959999,46.139336,28347276
2023-03-13,46.810001,48.099998,46.720001,47.919998,47.082558,25687145
2023-03-14,47.990002,50.48,47.990002,50.400002,49.519222,92000018
2023-03-15,50.5,51.380001,50.150002,50.400002,49.519222,48322536
2023-03-16,50.400002,50.400002,48.509998,48.529999,47.6819,34972410
2023-03-17,49.040001,49.130001,47.68,47.959999,47.121861,42264559
2023-03-20,47.959999,48.049999,47.119999,47.259998,46.434093,32527078
2023-03-21,47.27,47.619999,47.09,47.549999,46.719025,23462259
2023-03-22,47.700001,47.959999,47.299999,47.509998,46.679726,20622185
2023-03-23,47.25,47.720001,47.18,47.470001,46.640427,21206104
2023-03-24,47.549999,47.82,47.240002,47.490002,46.660076,18480190
2023-03-27,47.48,48.560001,47.18,48.490002,47.642601,37038670
2023-03-28,48.380001,48.950001,48.040001,48.439999,47.593472,24301178
2023-03-29,48.5,48.639999,47.560001,47.669998,46.836929,20353917
2023-03-30,47.700001,48.349998,47.5,48.119999,47.279064,19838778
